# W [GeV]    S_yy [GeV^-1]
1.000000e+01    1.236499e-03
1.015366e+01    1.207196e-03
1.030968e+01    1.178232e-03
1.046809e+01    1.149043e-03
1.062894e+01    1.121634e-03
1.079226e+01    1.095246e-03
1.095810e+01    1.068019e-03
1.112648e+01    1.042604e-03
1.129744e+01    1.016262e-03
1.147104e+01    9.919942e-04
1.164730e+01    9.683993e-04
1.182627e+01    9.442127e-04
1.200799e+01    9.216976e-04
1.237985e+01    8.770406e-04
1.257007e+01    8.552231e-04
1.276322e+01    8.343674e-04
1.295934e+01    8.139227e-04
1.315847e+01    7.943781e-04
1.336066e+01    7.747599e-04
1.356595e+01    7.553221e-04
1.377440e+01    7.367295e-04
1.398606e+01    7.180492e-04
1.420097e+01    7.001225e-04
1.441917e+01    6.837227e-04
1.464074e+01    6.659648e-04
1.486570e+01    6.495047e-04
1.556155e+01    6.019465e-04
1.580067e+01    5.868913e-04
1.604346e+01    5.721437e-04
1.628998e+01    5.575553e-04
1.654029e+01    5.437771e-04
1.679444e+01    5.298054e-04
1.705250e+01    5.164681e-04
1.731453e+01    5.034728e-04
1.758058e+01    4.906523e-04
1.785072e+01    4.783738e-04
1.812501e+01    4.659950e-04
1.840351e+01    4.539398e-04
1.868629e+01    4.425750e-04
1.897342e+01    4.311501e-04
1.926496e+01    4.199434e-04
1.956099e+01    4.095000e-04
1.986155e+01    3.986263e-04
2.016674e+01    3.885414e-04
2.047662e+01    3.784509e-04
2.079126e+01    3.687753e-04
2.143512e+01    3.497932e-04
2.176448e+01    3.407276e-04
2.209891e+01    3.318763e-04
2.243848e+01    3.230490e-04
2.278326e+01    3.145785e-04
2.313334e+01    3.064138e-04
2.348881e+01    2.985322e-04
2.384973e+01    2.906240e-04
2.458830e+01    2.753391e-04
2.496612e+01    2.681683e-04
2.534974e+01    2.610666e-04
2.573926e+01    2.541293e-04
2.613476e+01    2.472997e-04
2.653634e+01    2.408366e-04
2.694409e+01    2.343178e-04
2.820533e+01    2.159549e-04
2.863872e+01    2.102608e-04
2.907878e+01    2.044503e-04
2.997928e+01    1.936207e-04
3.043993e+01    1.882742e-04
3.090767e+01    1.831540e-04
3.138259e+01    1.780650e-04
3.186480e+01    1.732083e-04
3.235443e+01    1.684991e-04
3.285158e+01    1.638609e-04
3.335637e+01    1.593842e-04
3.386892e+01    1.549535e-04
3.491776e+01    1.464947e-04
3.545430e+01    1.424065e-04
3.599908e+01    1.384605e-04
3.655223e+01    1.345595e-04
3.711389e+01    1.307842e-04
3.768417e+01    1.271543e-04
3.826321e+01    1.235911e-04
3.885116e+01    1.200690e-04
4.005429e+01    1.133915e-04
4.066975e+01    1.101827e-04
4.129467e+01    1.070063e-04
4.192920e+01    1.039488e-04
4.322765e+01    9.804937e-05
4.389187e+01    9.522603e-05
4.456630e+01    9.248707e-05
4.525110e+01    8.985765e-05
4.594642e+01    8.724142e-05
4.665242e+01    8.465446e-05
4.736927e+01    8.221979e-05
4.809713e+01    7.979657e-05
4.883618e+01    7.745611e-05
4.958659e+01    7.518287e-05
5.034853e+01    7.295006e-05
5.112217e+01    7.083676e-05
5.190770e+01    6.872783e-05
5.270530e+01    6.664929e-05
5.351516e+01    6.467842e-05
5.517240e+01    6.087171e-05
5.602016e+01    5.901819e-05
5.688096e+01    5.726613e-05
5.775498e+01    5.552548e-05
5.864242e+01    5.382059e-05
5.954351e+01    5.219031e-05
6.045844e+01    5.059088e-05
6.138743e+01    4.904995e-05
6.233070e+01    4.753790e-05
6.328846e+01    4.604074e-05
6.426093e+01    4.466580e-05
6.524835e+01    4.326192e-05
6.625094e+01    4.192593e-05
6.726894e+01    4.059748e-05
6.830258e+01    3.931865e-05
7.041775e+01    3.690186e-05
7.149977e+01    3.572415e-05
7.259842e+01    3.458578e-05
7.371395e+01    3.348664e-05
7.484662e+01    3.239355e-05
7.716444e+01    3.036475e-05
7.835013e+01    2.938192e-05
7.955404e+01    2.843545e-05
8.201764e+01    2.660268e-05
8.327791e+01    2.572235e-05
8.455754e+01    2.488770e-05
8.585683e+01    2.405688e-05
8.717608e+01    2.325857e-05
8.851561e+01    2.247284e-05
8.987572e+01    2.172922e-05
9.125673e+01    2.100432e-05
9.265896e+01    2.029557e-05
9.408273e+01    1.960664e-05
9.552839e+01    1.894647e-05
9.699626e+01    1.829421e-05
9.848668e+01    1.766709e-05
1.000000e+02    1.706084e-05
1.030968e+02    1.590015e-05
1.046809e+02    1.534769e-05
1.062894e+02    1.480878e-05
1.079226e+02    1.429131e-05
1.095810e+02    1.378651e-05
1.112648e+02    1.329639e-05
1.129744e+02    1.282714e-05
1.147104e+02    1.236747e-05
1.164730e+02    1.192239e-05
1.182627e+02    1.148943e-05
1.200799e+02    1.107696e-05
1.219250e+02    1.067438e-05
1.237985e+02    1.027708e-05
1.257007e+02    9.905364e-06
1.276322e+02    9.535857e-06
1.295934e+02    9.184341e-06
1.315847e+02    8.839634e-06
1.336066e+02    8.508362e-06
1.356595e+02    8.185926e-06
1.377440e+02    7.877683e-06
1.398606e+02    7.578898e-06
1.420097e+02    7.285998e-06
1.441917e+02    7.010118e-06
1.486570e+02    6.474176e-06
1.509413e+02    6.218606e-06
1.532606e+02    5.977435e-06
1.556155e+02    5.743495e-06
1.604346e+02    5.293220e-06
1.628998e+02    5.079567e-06
1.679444e+02    4.677217e-06
1.705250e+02    4.485170e-06
1.731453e+02    4.298494e-06
1.758058e+02    4.122839e-06
1.785072e+02    3.951315e-06
1.812501e+02    3.785344e-06
1.868629e+02    3.472244e-06
1.897342e+02    3.324532e-06
1.926496e+02    3.182376e-06
1.956099e+02    3.043283e-06
1.986155e+02    2.912929e-06
2.016674e+02    2.785709e-06
2.047662e+02    2.662460e-06
2.079126e+02    2.545629e-06
2.111073e+02    2.430859e-06
2.143512e+02    2.321288e-06
2.176448e+02    2.215541e-06
2.209891e+02    2.115075e-06
2.243848e+02    2.017464e-06
2.278326e+02    1.924154e-06
2.313334e+02    1.835418e-06
2.348881e+02    1.749530e-06
2.384973e+02    1.666988e-06
2.421620e+02    1.587063e-06
2.458830e+02    1.510382e-06
2.496612e+02    1.437796e-06
2.534974e+02    1.368425e-06
2.573926e+02    1.301241e-06
2.613476e+02    1.236487e-06
2.653634e+02    1.175111e-06
2.694409e+02    1.115750e-06
2.735811e+02    1.059126e-06
2.777849e+02    1.005069e-06
2.820533e+02    9.529963e-07
2.907878e+02    8.563303e-07
2.952560e+02    8.106947e-07
2.997928e+02    7.677318e-07
3.043993e+02    7.262326e-07
3.090767e+02    6.866569e-07
3.138259e+02    6.491419e-07
3.186480e+02    6.131360e-07
3.235443e+02    5.787274e-07
3.285158e+02    5.461344e-07
3.386892e+02    4.852657e-07
3.438934e+02    4.570687e-07
3.491776e+02    4.301854e-07
3.545430e+02    4.048367e-07
3.655223e+02    3.574459e-07
3.826321e+02    2.950339e-07
3.885116e+02    2.763827e-07
3.944814e+02    2.587036e-07
4.005429e+02    2.418906e-07
4.066975e+02    2.259664e-07
4.129467e+02    2.110207e-07
4.192920e+02    1.968540e-07
4.257347e+02    1.834133e-07
4.322765e+02    1.707493e-07
4.389187e+02    1.588362e-07
4.456630e+02    1.475954e-07
4.525110e+02    1.370034e-07
4.665242e+02    1.176404e-07
4.736927e+02    1.088999e-07
4.809713e+02    1.005648e-07
4.883618e+02    9.279001e-08
4.958659e+02    8.551166e-08
5.112217e+02    7.231005e-08
5.190770e+02    6.637019e-08
5.270530e+02    6.076881e-08
5.351516e+02    5.557623e-08
5.433746e+02    5.072053e-08
5.517240e+02    4.623473e-08
5.602016e+02    4.204351e-08
